"","wage","hours","IQ","KWW","educ","exper","tenure","age","married","black","south","urban","sibs","brthord","meduc","feduc","lwage"
"1",769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.64509105682373
"3",825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.71538352966309
"4",650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.47697257995605
"5",562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.33150196075439
"7",600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.39692974090576
"9",1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.05098962783813
"10",1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.90775537490845
"11",930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.8351845741272
"14",1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.18387079238892
"15",1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.49108743667603
"16",958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.8648476600647
"17",1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.21524000167847
"18",850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.74523639678955
"22",1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.38709020614624
"23",873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.77193546295166
"24",2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.66715812683105
"25",1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.95939874649048
"26",1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.37900829315186
"27",1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.08002662658691
"28",800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.68461179733276
"29",1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.25629711151123
"30",635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.45362520217896
"32",1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.26122522354126
