"rating","price","rq","ju","vo","wa","kr","education","gender","income","age"
20,20.3488,1,0,0,0,0,1,1,0,30
20,35.6105,1,0,0,0,0,1,1,0,30
18,50.8721,1,0,0,0,0,1,1,0,30
20,21.8023,0,0,1,0,0,1,1,0,30
19,35.6105,0,0,1,0,0,1,1,0,30
18,49.4186,0,0,1,0,0,1,1,0,30
7,21.0756,0,1,0,0,0,1,1,0,30
1,36.3372,0,1,0,0,0,1,1,0,30
1,49.4186,0,1,0,0,0,1,1,0,30
10,21.0756,0,0,0,1,0,1,1,0,30
8,34.8837,0,0,0,1,0,1,1,0,30
7,50.8721,0,0,0,1,0,1,1,0,30
12,20.3488,0,0,0,0,1,1,1,0,30
12,35.6105,0,0,0,0,1,1,1,0,30
10,50.8721,0,0,0,0,1,1,1,0,30
19,20.3488,1,0,0,0,0,1,1,1,50
11,35.6105,1,0,0,0,0,1,1,1,50
2,50.8721,1,0,0,0,0,1,1,1,50
1,21.8023,0,0,1,0,0,1,1,1,50
11,35.6105,0,0,1,0,0,1,1,1,50
1,49.4186,0,0,1,0,0,1,1,1,50
20,21.0756,0,1,0,0,0,1,1,1,50
11,36.3372,0,1,0,0,0,1,1,1,50
1,49.4186,0,1,0,0,0,1,1,1,50
20,21.0756,0,0,0,1,0,1,1,1,50
19,34.8837,0,0,0,1,0,1,1,1,50
4,50.8721,0,0,0,1,0,1,1,1,50
17,20.3488,0,0,0,0,1,1,1,1,50
11,35.6105,0,0,0,0,1,1,1,1,50
1,50.8721,0,0,0,0,1,1,1,1,50
20,20.3488,1,0,0,0,0,1,1,1,55
12,35.6105,1,0,0,0,0,1,1,1,55
1,50.8721,1,0,0,0,0,1,1,1,55
20,21.8023,0,0,1,0,0,1,1,1,55
17,35.6105,0,0,1,0,0,1,1,1,55
1,49.4186,0,0,1,0,0,1,1,1,55
20,21.0756,0,1,0,0,0,1,1,1,55
6,36.3372,0,1,0,0,0,1,1,1,55
1,49.4186,0,1,0,0,0,1,1,1,55
20,21.0756,0,0,0,1,0,1,1,1,55
6,34.8837,0,0,0,1,0,1,1,1,55
1,50.8721,0,0,0,1,0,1,1,1,55
20,20.3488,0,0,0,0,1,1,1,1,55
1,35.6105,0,0,0,0,1,1,1,1,55
1,50.8721,0,0,0,0,1,1,1,1,55
20,20.3488,1,0,0,0,0,1,0,1,48
15,35.6105,1,0,0,0,0,1,0,1,48
17,50.8721,1,0,0,0,0,1,0,1,48
20,21.8023,0,0,1,0,0,1,0,1,48
15,35.6105,0,0,1,0,0,1,0,1,48
2,49.4186,0,0,1,0,0,1,0,1,48
20,21.0756,0,1,0,0,0,1,0,1,48
15,36.3372,0,1,0,0,0,1,0,1,48
2,49.4186,0,1,0,0,0,1,0,1,48
20,21.0756,0,0,0,1,0,1,0,1,48
10,34.8837,0,0,0,1,0,1,0,1,48
1,50.8721,0,0,0,1,0,1,0,1,48
20,20.3488,0,0,0,0,1,1,0,1,48
16,35.6105,0,0,0,0,1,1,0,1,48
2,50.8721,0,0,0,0,1,1,0,1,48
20,20.3488,1,0,0,0,0,1,0,0,33
4,35.6105,1,0,0,0,0,1,0,0,33
10,50.8721,1,0,0,0,0,1,0,0,33
20,21.8023,0,0,1,0,0,1,0,0,33
4,35.6105,0,0,1,0,0,1,0,0,33
10,49.4186,0,0,1,0,0,1,0,0,33
16,21.0756,0,1,0,0,0,1,0,0,33
3,36.3372,0,1,0,0,0,1,0,0,33
6,49.4186,0,1,0,0,0,1,0,0,33
14,21.0756,0,0,0,1,0,1,0,0,33
3,34.8837,0,0,0,1,0,1,0,0,33
6,50.8721,0,0,0,1,0,1,0,0,33
16,20.3488,0,0,0,0,1,1,0,0,33
1,35.6105,0,0,0,0,1,1,0,0,33
2,50.8721,0,0,0,0,1,1,0,0,33
10,20.3488,1,0,0,0,0,0,1,0,47
13,35.6105,1,0,0,0,0,0,1,0,47
3,50.8721,1,0,0,0,0,0,1,0,47
20,21.8023,0,0,1,0,0,0,1,0,47
20,35.6105,0,0,1,0,0,0,1,0,47
8,49.4186,0,0,1,0,0,0,1,0,47
20,21.0756,0,1,0,0,0,0,1,0,47
17,36.3372,0,1,0,0,0,0,1,0,47
18,49.4186,0,1,0,0,0,0,1,0,47
10,21.0756,0,0,0,1,0,0,1,0,47
8,34.8837,0,0,0,1,0,0,1,0,47
1,50.8721,0,0,0,1,0,0,1,0,47
1,20.3488,0,0,0,0,1,0,1,0,47
1,35.6105,0,0,0,0,1,0,1,0,47
1,50.8721,0,0,0,0,1,0,1,0,47
20,20.3488,1,0,0,0,0,1,1,0,53
15,35.6105,1,0,0,0,0,1,1,0,53
18,50.8721,1,0,0,0,0,1,1,0,53
19,21.8023,0,0,1,0,0,1,1,0,53
13,35.6105,0,0,1,0,0,1,1,0,53
17,49.4186,0,0,1,0,0,1,1,0,53
18,21.0756,0,1,0,0,0,1,1,0,53
15,36.3372,0,1,0,0,0,1,1,0,53
13,49.4186,0,1,0,0,0,1,1,0,53
14,21.0756,0,0,0,1,0,1,1,0,53
12,34.8837,0,0,0,1,0,1,1,0,53
12,50.8721,0,0,0,1,0,1,1,0,53
1,20.3488,0,0,0,0,1,1,1,0,53
1,35.6105,0,0,0,0,1,1,1,0,53
1,50.8721,0,0,0,0,1,1,1,0,53
20,20.3488,1,0,0,0,0,0,0,0,33
10,35.6105,1,0,0,0,0,0,0,0,33
1,50.8721,1,0,0,0,0,0,0,0,33
20,21.8023,0,0,1,0,0,0,0,0,33
18,35.6105,0,0,1,0,0,0,0,0,33
1,49.4186,0,0,1,0,0,0,0,0,33
18,21.0756,0,1,0,0,0,0,0,0,33
15,36.3372,0,1,0,0,0,0,0,0,33
1,49.4186,0,1,0,0,0,0,0,0,33
13,21.0756,0,0,0,1,0,0,0,0,33
13,34.8837,0,0,0,1,0,0,0,0,33
1,50.8721,0,0,0,1,0,0,0,0,33
13,20.3488,0,0,0,0,1,0,0,0,33
10,35.6105,0,0,0,0,1,0,0,0,33
13,50.8721,0,0,0,0,1,0,0,0,33
20,20.3488,1,0,0,0,0,0,1,0,35
20,35.6105,1,0,0,0,0,0,1,0,35
20,50.8721,1,0,0,0,0,0,1,0,35
18,21.8023,0,0,1,0,0,0,1,0,35
17,35.6105,0,0,1,0,0,0,1,0,35
10,49.4186,0,0,1,0,0,0,1,0,35
19,21.0756,0,1,0,0,0,0,1,0,35
19,36.3372,0,1,0,0,0,0,1,0,35
17,49.4186,0,1,0,0,0,0,1,0,35
19,21.0756,0,0,0,1,0,0,1,0,35
19,34.8837,0,0,0,1,0,0,1,0,35
19,50.8721,0,0,0,1,0,0,1,0,35
18,20.3488,0,0,0,0,1,0,1,0,35
8,35.6105,0,0,0,0,1,0,1,0,35
2,50.8721,0,0,0,0,1,0,1,0,35
15,20.3488,1,0,0,0,0,1,1,1,34
15,35.6105,1,0,0,0,0,1,1,1,34
8,50.8721,1,0,0,0,0,1,1,1,34
20,21.8023,0,0,1,0,0,1,1,1,34
20,35.6105,0,0,1,0,0,1,1,1,34
12,49.4186,0,0,1,0,0,1,1,1,34
20,21.0756,0,1,0,0,0,1,1,1,34
20,36.3372,0,1,0,0,0,1,1,1,34
12,49.4186,0,1,0,0,0,1,1,1,34
7,21.0756,0,0,0,1,0,1,1,1,34
5,34.8837,0,0,0,1,0,1,1,1,34
3,50.8721,0,0,0,1,0,1,1,1,34
1,20.3488,0,0,0,0,1,1,1,1,34
1,35.6105,0,0,0,0,1,1,1,1,34
1,50.8721,0,0,0,0,1,1,1,1,34
20,20.3488,1,0,0,0,0,0,0,0,17
17,35.6105,1,0,0,0,0,0,0,0,17
15,50.8721,1,0,0,0,0,0,0,0,17
19,21.8023,0,0,1,0,0,0,0,0,17
14,35.6105,0,0,1,0,0,0,0,0,17
10,49.4186,0,0,1,0,0,0,0,0,17
16,21.0756,0,1,0,0,0,0,0,0,17
3,36.3372,0,1,0,0,0,0,0,0,17
1,49.4186,0,1,0,0,0,0,0,0,17
20,21.0756,0,0,0,1,0,0,0,0,17
15,34.8837,0,0,0,1,0,0,0,0,17
10,50.8721,0,0,0,1,0,0,0,0,17
18,20.3488,0,0,0,0,1,0,0,0,17
10,35.6105,0,0,0,0,1,0,0,0,17
1,50.8721,0,0,0,0,1,0,0,0,17
20,20.3488,1,0,0,0,0,0,1,0,81
15,35.6105,1,0,0,0,0,0,1,0,81
1,50.8721,1,0,0,0,0,0,1,0,81
20,21.8023,0,0,1,0,0,0,1,0,81
15,35.6105,0,0,1,0,0,0,1,0,81
1,49.4186,0,0,1,0,0,0,1,0,81
20,21.0756,0,1,0,0,0,0,1,0,81
15,36.3372,0,1,0,0,0,0,1,0,81
1,49.4186,0,1,0,0,0,0,1,0,81
20,21.0756,0,0,0,1,0,0,1,0,81
15,34.8837,0,0,0,1,0,0,1,0,81
1,50.8721,0,0,0,1,0,0,1,0,81
20,20.3488,0,0,0,0,1,0,1,0,81
15,35.6105,0,0,0,0,1,0,1,0,81
1,50.8721,0,0,0,0,1,0,1,0,81
20,20.3488,1,0,0,0,0,0,0,0,17
16,35.6105,1,0,0,0,0,0,0,0,17
6,50.8721,1,0,0,0,0,0,0,0,17
20,21.8023,0,0,1,0,0,0,0,0,17
10,35.6105,0,0,1,0,0,0,0,0,17
1,49.4186,0,0,1,0,0,0,0,0,17
16,21.0756,0,1,0,0,0,0,0,0,17
12,36.3372,0,1,0,0,0,0,0,0,17
12,49.4186,0,1,0,0,0,0,0,0,17
15,21.0756,0,0,0,1,0,0,0,0,17
12,34.8837,0,0,0,1,0,0,0,0,17
10,50.8721,0,0,0,1,0,0,0,0,17
7,20.3488,0,0,0,0,1,0,0,0,17
1,35.6105,0,0,0,0,1,0,0,0,17
1,50.8721,0,0,0,0,1,0,0,0,17
20,20.3488,1,0,0,0,0,1,0,1,21
16,35.6105,1,0,0,0,0,1,0,1,21
14,50.8721,1,0,0,0,0,1,0,1,21
20,21.8023,0,0,1,0,0,1,0,1,21
16,35.6105,0,0,1,0,0,1,0,1,21
14,49.4186,0,0,1,0,0,1,0,1,21
11,21.0756,0,1,0,0,0,1,0,1,21
10,36.3372,0,1,0,0,0,1,0,1,21
3,49.4186,0,1,0,0,0,1,0,1,21
7,21.0756,0,0,0,1,0,1,0,1,21
5,34.8837,0,0,0,1,0,1,0,1,21
3,50.8721,0,0,0,1,0,1,0,1,21
7,20.3488,0,0,0,0,1,1,0,1,21
5,35.6105,0,0,0,0,1,1,0,1,21
3,50.8721,0,0,0,0,1,1,0,1,21
20,20.3488,1,0,0,0,0,1,1,1,33
18,35.6105,1,0,0,0,0,1,1,1,33
17,50.8721,1,0,0,0,0,1,1,1,33
18,21.8023,0,0,1,0,0,1,1,1,33
17,35.6105,0,0,1,0,0,1,1,1,33
14,49.4186,0,0,1,0,0,1,1,1,33
2,21.0756,0,1,0,0,0,1,1,1,33
1,36.3372,0,1,0,0,0,1,1,1,33
1,49.4186,0,1,0,0,0,1,1,1,33
13,21.0756,0,0,0,1,0,1,1,1,33
11,34.8837,0,0,0,1,0,1,1,1,33
9,50.8721,0,0,0,1,0,1,1,1,33
13,20.3488,0,0,0,0,1,1,1,1,33
11,35.6105,0,0,0,0,1,1,1,1,33
6,50.8721,0,0,0,0,1,1,1,1,33
20,20.3488,1,0,0,0,0,1,1,0,19
18,35.6105,1,0,0,0,0,1,1,0,19
10,50.8721,1,0,0,0,0,1,1,0,19
19,21.8023,0,0,1,0,0,1,1,0,19
19,35.6105,0,0,1,0,0,1,1,0,19
10,49.4186,0,0,1,0,0,1,1,0,19
15,21.0756,0,1,0,0,0,1,1,0,19
15,36.3372,0,1,0,0,0,1,1,0,19
12,49.4186,0,1,0,0,0,1,1,0,19
19,21.0756,0,0,0,1,0,1,1,0,19
19,34.8837,0,0,0,1,0,1,1,0,19
13,50.8721,0,0,0,1,0,1,1,0,19
19,20.3488,0,0,0,0,1,1,1,0,19
15,35.6105,0,0,0,0,1,1,1,0,19
7,50.8721,0,0,0,0,1,1,1,0,19
14,20.3488,1,0,0,0,0,0,1,0,38
13,35.6105,1,0,0,0,0,0,1,0,38
14,50.8721,1,0,0,0,0,0,1,0,38
15,21.8023,0,0,1,0,0,0,1,0,38
14,35.6105,0,0,1,0,0,0,1,0,38
12,49.4186,0,0,1,0,0,0,1,0,38
20,21.0756,0,1,0,0,0,0,1,0,38
18,36.3372,0,1,0,0,0,0,1,0,38
18,49.4186,0,1,0,0,0,0,1,0,38
12,21.0756,0,0,0,1,0,0,1,0,38
14,34.8837,0,0,0,1,0,0,1,0,38
12,50.8721,0,0,0,1,0,0,1,0,38
12,20.3488,0,0,0,0,1,0,1,0,38
13,35.6105,0,0,0,0,1,0,1,0,38
12,50.8721,0,0,0,0,1,0,1,0,38
18,20.3488,1,0,0,0,0,1,1,0,26
16,35.6105,1,0,0,0,0,1,1,0,26
12,50.8721,1,0,0,0,0,1,1,0,26
19,21.8023,0,0,1,0,0,1,1,0,26
15,35.6105,0,0,1,0,0,1,1,0,26
12,49.4186,0,0,1,0,0,1,1,0,26
3,21.0756,0,1,0,0,0,1,1,0,26
4,36.3372,0,1,0,0,0,1,1,0,26
4,49.4186,0,1,0,0,0,1,1,0,26
17,21.0756,0,0,0,1,0,1,1,0,26
9,34.8837,0,0,0,1,0,1,1,0,26
2,50.8721,0,0,0,1,0,1,1,0,26
6,20.3488,0,0,0,0,1,1,1,0,26
3,35.6105,0,0,0,0,1,1,1,0,26
6,50.8721,0,0,0,0,1,1,1,0,26
20,20.3488,1,0,0,0,0,1,1,1,28
18,35.6105,1,0,0,0,0,1,1,1,28
16,50.8721,1,0,0,0,0,1,1,1,28
18,21.8023,0,0,1,0,0,1,1,1,28
18,35.6105,0,0,1,0,0,1,1,1,28
10,49.4186,0,0,1,0,0,1,1,1,28
1,21.0756,0,1,0,0,0,1,1,1,28
1,36.3372,0,1,0,0,0,1,1,1,28
1,49.4186,0,1,0,0,0,1,1,1,28
20,21.0756,0,0,0,1,0,1,1,1,28
18,34.8837,0,0,0,1,0,1,1,1,28
16,50.8721,0,0,0,1,0,1,1,1,28
1,20.3488,0,0,0,0,1,1,1,1,28
1,35.6105,0,0,0,0,1,1,1,1,28
1,50.8721,0,0,0,0,1,1,1,1,28
20,20.3488,1,0,0,0,0,1,1,1,74
20,35.6105,1,0,0,0,0,1,1,1,74
12,50.8721,1,0,0,0,0,1,1,1,74
1,21.8023,0,0,1,0,0,1,1,1,74
2,35.6105,0,0,1,0,0,1,1,1,74
