"rating","price","rq","ju","vo","wa","kr","education","gender","income","age"
15,35.6105,1,0,0,0,0,1,0,1,48
9,50.8721,0,0,0,0,1,1,1,0,49
18,35.6105,0,0,1,0,0,1,1,0,34
8,34.8837,0,0,0,1,0,1,0,0,16
12,35.6105,0,0,0,0,1,1,1,0,30
12,36.3372,0,1,0,0,0,1,1,1,19
10,21.0756,0,0,0,1,0,1,1,0,20
15,35.6105,0,0,1,0,0,1,1,0,26
20,20.3488,1,0,0,0,0,1,1,1,45
17,21.0756,0,0,0,1,0,0,0,1,41
13,35.6105,0,0,1,0,0,1,0,0,33
16,35.6105,1,0,0,0,0,0,0,0,17
18,35.6105,0,0,0,0,1,1,0,1,67
5,50.8721,1,0,0,0,0,1,0,1,39
2,50.8721,0,1,0,0,0,1,1,0,26
10,34.8837,0,0,0,1,0,1,0,1,48
15,50.8721,1,0,0,0,0,1,1,1,80
2,49.4186,0,0,1,0,0,1,1,1,53
1,50.8721,0,0,0,0,1,0,1,0,32
1,34.8837,0,0,0,1,0,0,0,0,40
1,50.8721,0,0,0,0,1,0,1,0,46
14,21.0756,0,0,0,1,0,1,0,1,46
1,50.8721,0,0,0,0,1,1,0,1,37
15,36.3372,0,1,0,0,0,1,0,1,48
18,21.0756,0,1,0,0,0,0,0,0,27
16,50.8721,0,0,0,1,0,1,1,0,19
8,35.6105,1,0,0,0,0,1,1,1,19
1,49.4186,0,0,0,1,0,0,1,0,31
18,35.6105,1,0,0,0,0,0,0,1,38
20,21.0756,0,1,0,0,0,0,1,0,70
8,49.4186,0,0,1,0,0,1,1,1,36
18,20.3488,0,0,1,0,0,1,1,1,27
2,21.0756,0,1,0,0,0,1,0,1,32
12,35.6105,0,0,1,0,0,1,0,0,16
18,21.8023,0,0,1,0,0,0,0,1,47
17,21.0756,0,0,0,1,0,0,1,1,61
5,50.8721,0,0,0,0,1,1,0,1,35
13,20.3488,0,0,0,0,1,1,1,1,33
18,34.8837,0,0,0,1,0,0,0,1,47
1,21.8023,1,0,0,0,0,1,0,0,34
10,49.4186,0,0,1,0,0,1,0,0,49
14,34.8837,0,0,0,1,0,1,0,1,50
5,49.4186,0,0,0,1,0,0,1,0,28
12,36.3372,0,0,0,1,0,1,1,1,27
16,35.6105,1,0,0,0,0,1,0,1,21
14,50.8721,1,0,0,0,0,1,1,0,24
10,50.8721,0,0,0,0,1,0,1,0,82
10,36.3372,0,1,0,0,0,1,0,0,21
3,49.4186,0,0,1,0,0,1,1,1,45
15,35.6105,0,0,1,0,0,0,1,1,48
10,35.6105,0,0,0,0,1,1,0,1,39
1,35.6105,0,0,0,0,1,1,1,1,36
5,35.6105,0,0,0,0,1,1,0,0,29
3,49.4186,0,1,0,0,0,1,0,0,16
18,36.3372,0,1,0,0,0,0,1,1,58
6,49.4186,0,1,0,0,0,1,0,0,33
20,20.3488,1,0,0,0,0,1,0,0,21
15,35.6105,0,0,1,0,0,0,0,1,47
11,35.6105,1,0,0,0,0,0,0,1,21
1,50.8721,0,0,0,0,1,1,1,1,50
20,21.0756,0,1,0,0,0,1,0,1,48
12,49.4186,0,1,0,0,0,1,0,0,16
13,36.3372,0,1,0,0,0,1,0,0,16
1,50.8721,0,1,0,0,0,1,1,1,38
18,21.8023,0,0,1,0,0,1,0,1,39
20,20.3488,0,0,0,0,1,1,1,1,42
2,35.6105,0,0,0,0,1,0,1,0,46
20,21.0756,0,0,0,1,0,0,0,0,41
18,35.6105,0,0,1,0,0,0,1,0,70
16,35.6105,0,0,1,0,0,1,0,0,28
2,50.8721,1,0,0,0,0,0,1,0,16
20,21.0756,0,1,0,0,0,0,0,1,35
1,50.8721,0,1,0,0,0,1,0,0,18
12,36.3372,0,1,0,0,0,1,1,1,34
1,20.3488,0,0,0,0,1,1,1,1,28
12,20.3488,1,0,0,0,0,0,1,0,16
20,20.3488,1,0,0,0,0,1,0,1,50
14,35.6105,1,0,0,0,0,1,0,0,23
13,20.3488,0,0,0,0,1,0,0,0,33
20,35.6105,1,0,0,0,0,0,1,0,35
5,49.4186,0,1,0,0,0,1,1,0,19
20,21.0756,0,1,0,0,0,1,1,1,38
20,21.0756,0,0,0,1,0,1,1,0,36
5,50.8721,1,0,0,0,0,0,0,1,42
17,21.0756,0,1,0,0,0,0,1,0,18
20,35.6105,0,0,0,0,1,1,1,1,35
1,36.3372,0,1,0,0,0,1,1,1,28
1,50.8721,0,0,0,0,1,0,1,1,48
12,35.6105,0,0,0,0,1,0,1,0,31
1,50.8721,0,0,0,1,0,1,0,1,21
20,20.3488,0,0,0,0,1,1,1,0,49
18,35.6105,0,0,1,0,0,1,1,1,17
16,34.8837,0,0,0,1,0,0,1,1,67
12,35.6105,0,0,0,0,1,1,0,1,50
1,49.4186,0,1,0,0,0,0,0,1,37
20,20.3488,0,0,1,0,0,1,1,0,49
1,50.8721,0,1,0,0,0,1,1,0,33
2,49.4186,0,0,0,1,0,1,0,1,46
20,35.6105,0,0,1,0,0,1,1,1,80
8,21.0756,0,1,0,0,0,1,1,1,33
20,20.3488,1,0,0,0,0,1,1,1,34
19,35.6105,1,0,0,0,0,0,1,1,17
1,21.0756,0,0,0,1,0,1,1,1,38
