"Date","Y1","Y10","Y11","Y12","Y2","Y24","Y3","Y36","Y4","Y48","Y5","Y6","Y60","Y7","Y8","Y9"
1964-01-01,3.4188,3.7416,3.7416,3.789,3.4548,3.893,3.552,3.939,3.5676,3.943,3.63,3.6816,3.984,3.6564,3.6876,3.7248
1964-02-01,3.5004,3.8412,3.9048,3.947,3.5832,3.981,3.654,4.025,3.6816,4.01,3.7992,3.8064,4.023,3.8172,3.8292,3.8448
1964-03-01,3.5268,3.8676,3.8724,3.91,3.5316,4.076,3.588,4.125,3.66,4.145,3.738,3.7956,4.073,3.8016,3.8076,3.8136
1964-04-01,3.3132,3.762,3.7836,3.783,3.45,3.978,3.5016,4.047,3.522,4.082,3.63,3.6516,4.077,3.6924,3.7188,3.7464
1964-05-01,3.2628,3.7524,3.8052,3.832,3.4404,3.918,3.5124,3.964,3.522,4.021,3.6,3.6048,3.979,3.6204,3.7092,3.7248
1964-06-01,3.4092,3.7668,3.7836,3.78,3.4764,3.779,3.5316,3.894,3.5532,3.972,3.5376,3.5892,3.977,3.6,3.6672,3.7044
1964-07-01,3.2568,3.7104,3.7056,3.759,3.4608,3.664,3.5064,3.868,3.5268,3.97,3.5316,3.5892,4.006,3.6144,3.636,3.7044
1964-08-01,3.3696,3.7356,3.7836,3.813,3.4956,3.734,3.4956,3.902,3.4956,3.991,3.6144,3.6456,4.022,3.6816,3.7392,3.756
1964-09-01,3.522,3.846,3.852,3.897,3.522,3.797,3.6036,3.939,3.666,3.995,3.6804,3.7956,3.991,3.7908,3.8016,3.8076
1964-10-01,3.4248,3.8568,3.8736,3.906,3.4704,3.862,3.588,3.973,3.6552,3.999,3.7488,3.7644,4.005,3.7704,3.8016,3.8448
1964-11-01,3.5724,4.134,4.152,4.214,3.7764,4.028,3.8532,4.094,3.9732,4.081,4.0152,4.0428,4.069,4.0392,4.104,4.122
1964-12-01,3.4248,4.0296,4.02,4.05,3.7092,3.933,3.8796,3.975,3.9264,3.999,3.9384,4.002,4.076,3.9924,4.0152,4.0224
1965-01-01,3.882,4.0188,4.0308,4.077,3.894,3.928,3.9,3.94,3.948,3.974,4.0164,4.0284,4.078,4.0296,4.0368,4.0428
1965-02-01,3.888,4.1028,4.158,4.204,3.9756,4.034,4.0332,3.997,4.0716,4.002,4.0884,4.0392,4.121,4.0764,4.0896,4.0956
1965-03-01,3.786,4.098,4.1148,4.14,3.9084,4.026,3.9924,4.024,4.0344,4.003,4.0164,4.08,4.101,4.0248,4.0308,4.0536
1965-04-01,3.8568,4.0656,4.0836,4.098,3.9348,4.024,3.9924,4.039,3.9888,4.019,4.0164,4.0284,4.117,3.9828,4.026,4.0488
1965-05-01,3.8676,4.0344,4.0632,4.077,3.9252,4.03,3.9216,4.036,3.9588,4.017,3.9852,3.9564,4.12,3.9732,4.0056,4.0284
1965-06-01,3.7812,3.9612,3.9624,3.976,3.7812,3.932,3.864,4.004,3.8808,4.017,3.9084,3.8364,4.094,3.864,3.8904,3.9132
1965-07-01,3.7656,3.9924,3.9996,4.018,3.822,3.999,3.864,4.048,3.9072,4.112,3.882,3.9096,4.121,3.9204,3.9276,3.9852
1965-08-01,3.78,4.1184,4.1412,4.172,3.8736,4.087,3.8796,4.145,3.9012,4.165,3.9696,4.0848,4.154,3.9564,4.0776,4.0956
1965-09-01,3.984,4.3128,4.32,4.346,3.9396,4.246,4.044,4.264,4.128,4.268,4.254,4.2816,4.248,4.2888,4.2972,4.3044
1965-10-01,3.8472,4.3128,4.278,4.352,3.93,4.255,4.08,4.282,4.2048,4.343,4.2324,4.2552,4.32,4.2684,4.266,4.3044
1965-11-01,3.786,4.3488,4.3836,4.436,4.0416,4.291,4.1976,4.398,4.2348,4.432,4.278,4.3536,4.395,4.32,4.3536,4.3572
1965-12-01,4.2636,4.8072,4.8108,4.886,4.5168,4.808,4.56,4.89,4.6248,4.878,4.7328,4.7736,4.77,4.7676,4.7664,4.7604
1966-01-01,4.5276,4.8072,4.848,4.92,4.6128,4.824,4.6776,4.901,4.7448,4.905,4.7844,4.758,4.826,4.7676,4.7508,4.7976
1966-02-01,4.4568,4.8768,5.0196,4.98,4.6896,4.9,4.7004,4.945,4.7544,4.994,4.8264,4.8468,4.952,4.7784,4.8192,4.8768
1966-03-01,4.416,4.824,4.8588,4.93,4.5216,4.726,4.5912,4.74,4.6416,4.779,4.7028,4.7268,4.727,4.7316,4.746,4.782
1966-04-01,4.6404,4.8708,4.9176,4.99,4.6548,4.832,4.6896,4.858,4.704,4.84,4.698,4.7172,4.797,4.7364,4.7148,4.8456
1966-05-01,4.4568,4.986,5.0388,5.09,4.6236,5.004,4.674,4.985,4.6932,4.998,4.7388,4.9092,4.884,4.7316,4.872,4.9656
1966-06-01,4.518,5.082,5.0712,5.106,4.5168,5.078,4.5348,5.12,4.626,5.113,4.7124,4.7172,5.007,4.8204,4.9128,4.9812
1966-07-01,4.5444,5.1408,5.1672,5.246,4.6548,5.19,4.7976,5.21,4.848,5.225,4.8276,5.0184,5.18,5.0388,5.076,5.124
1966-08-01,4.7208,5.76,5.838,5.931,4.9608,5.84,5.1456,5.766,5.058,5.8,5.37,5.7156,5.56,5.6136,5.7312,5.6976
1966-09-01,5.154,5.9352,5.9508,6,5.3652,5.391,5.418,5.387,5.5848,5.318,5.748,5.736,5.147,5.8644,5.8848,5.9628
1966-10-01,4.7316,5.6328,5.5716,5.7,4.7052,5.284,5.3052,5.234,5.4864,5.21,5.514,5.5992,5.116,5.6652,5.6736,5.73
1966-11-01,4.2636,5.4312,5.4492,5.438,5.0376,5.354,5.2476,5.334,5.3268,5.308,5.3592,5.3772,5.195,5.3676,5.4216,5.4612
1966-12-01,4.4676,5.0292,4.9596,5.013,4.854,4.79,4.8936,4.876,5.0532,4.733,5.028,5.0328,4.684,5.0652,5.076,5.0868
1967-01-01,4.5432,4.6272,4.5888,4.611,4.602,4.493,4.5852,4.565,4.62,4.627,4.6188,4.6032,4.551,4.6056,4.6152,4.6296
1967-02-01,4.4724,4.6704,4.6752,4.66,4.5984,4.634,4.6128,4.729,4.6008,4.718,4.6512,4.6392,4.685,4.6632,4.6728,4.6764
1967-03-01,4.0596,4.092,4.1364,4.14,4.0668,4.126,4.0632,4.235,4.1484,4.33,4.1556,4.1364,4.365,4.134,4.1352,4.116
1967-04-01,3.5016,3.9828,3.9948,4.03,3.6192,4.337,3.7836,4.502,3.8148,4.612,3.8616,3.9048,4.631,3.9216,3.9696,4.008
1967-05-01,3.2472,3.9612,3.9672,3.961,3.42,4.321,3.5064,4.516,3.5424,4.595,3.7176,3.8112,4.679,3.786,3.9324,3.954
1967-06-01,3.8832,4.9392,4.9344,5.061,3.9144,4.921,3.9972,5.051,4.158,5.174,4.4388,4.458,5.253,4.6224,4.8396,5.034
1967-07-01,3.8064,4.9968,5.0028,5.096,3.888,4.87,4.1976,4.952,4.2348,4.976,4.2684,4.7064,5.02,4.8252,4.9452,5.0604
1967-08-01,3.8568,5.1552,5.172,5.259,4.2156,5.148,4.4484,5.212,4.338,5.181,4.7184,4.9392,5.186,5.07,5.1432,5.1492
1967-09-01,4.152,5.2572,5.2896,5.358,4.4244,5.19,4.464,5.28,4.7712,5.29,5.0436,5.1276,5.215,5.2164,5.244,5.3184
1967-10-01,4.146,5.4372,5.4432,5.518,4.2408,5.559,4.5756,5.53,4.7748,5.524,4.9656,5.1792,5.563,5.2944,5.3856,5.4552
